aggTrade,solusdt@aggTrade,1750250057591,1750250057438,915463176,145.9900,155.40,2404246278,2404246326,True
aggTrade,solusdt@aggTrade,1750250057597,1750250057581,915463177,145.9800,13.56,2404246327,2404246337,True
aggTrade,solusdt@aggTrade,1750250057730,1750250057588,915463178,145.9800,1.00,2404246338,2404246338,False
aggTrade,solusdt@aggTrade,1750250057881,1750250057717,915463179,145.9800,0.68,2404246339,2404246339,False
aggTrade,solusdt@aggTrade,1750250058316,1750250058161,915463180,145.9700,0.08,2404246340,2404246341,True
aggTrade,solusdt@aggTrade,1750250059150,1750250058993,915463181,145.9800,38.53,2404246342,2404246359,False
aggTrade,solusdt@aggTrade,1750250059252,1750250059151,915463182,145.9800,14.33,2404246360,2404246365,True
aggTrade,solusdt@aggTrade,1750250059403,1750250059237,915463183,145.9800,0.10,2404246366,2404246366,False
aggTrade,solusdt@aggTrade,1750250059842,1750250059686,915463184,145.9800,50.00,2404246367,2404246367,False
aggTrade,solusdt@aggTrade,1750250060738,1750250060582,915463185,145.9800,0.36,2404246368,2404246368,False
aggTrade,solusdt@aggTrade,1750250061022,1750250060867,915463186,145.9700,0.44,2404246369,2404246372,True
aggTrade,solusdt@aggTrade,1750250061621,1750250061612,915463187,145.9800,13.70,2404246373,2404246373,False
aggTrade,solusdt@aggTrade,1750250061772,1750250061618,915463188,145.9700,0.10,2404246374,2404246374,True
aggTrade,solusdt@aggTrade,1750250063180,1750250063138,915463189,145.9800,487.52,2404246375,2404246395,False
aggTrade,solusdt@aggTrade,1750250063285,1750250063174,915463190,145.9900,4.24,2404246396,2404246400,False
aggTrade,solusdt@aggTrade,1750250063436,1750250063268,915463191,146.0000,1.36,2404246401,2404246401,False
aggTrade,solusdt@aggTrade,1750250063595,1750250063438,915463192,146.0000,2.00,2404246402,2404246402,False
